,track_id,track_name,track_artist,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,key,mode
30809,5lhHhePD9IWBj4Pp0LjL2F,Better Than You,Viciouz Beatz,6aKx5HnqJOgyzOc6TagNau,"Freestyle Music, Vol.4",2019-11-03,Tastemakers Ball  -  EDM - POP and FUN,67cpuBAXjwibm3LG333Oaq,edm,pop edm,9,0
22801,1v1QA8Qra1mIRxP4ergLWc,Reencontrar,Altamira,6Esn9JuF6vepQmvShZmEFL,Reencontrar,2019-12-26,Brisa Pop,37i9dQZF1DX2vsux22VuNL,r&b,hip pop,4,0
18118,6oyUroY42HiaD9Q9VBw4BP,Here Without You - Acoustic Version,3 Doors Down,5vGmRi8jMNCvmysQgBBhpx,Seventeen Days (International Version),2005,Unplugged Hits 📣,5NTm3injIRkUMROsZr3C2O,latin,latin pop,10,0
6470,2q7kLQFjeVWs6iIW3zwiTd,92 Baby,W3alth,06lIR7SlHIvoef3GIdxTe4,92 Baby,2019-07-12,Lofi Hip-Hop,37i9dQZF1DX36Xw4IJIVKA,rap,hip hop,6,1
18619,2qyyS2lOdC7oxZDQ7tCuY0,Carnavalera,Bomba Estéreo,2nlKetdWi0Kc4RU1Xe5SPb,Carnavalera,2019-03-29,Exitos 2020 - Latin Billboard,0k2IDDkcVyIpIgE6d1woDM,latin,latin pop,7,1
23217,3Ex5RFJRUdpHcDOLXJOVLy,Raising Hell (feat. Big Freedia),Kesha,4goVotvvq8GkK7OBbZclid,Raising Hell (feat. Big Freedia),2019-10-24,Girl On Fire,37i9dQZF1DX4F2k37fMTyn,r&b,hip pop,1,0
26706,3fqwjXwUGN6vbzIwvyFMhx,Tennessee Whiskey,Chris Stapleton,7lxHnls3yQNl8B9bILmHj7,Traveller,2015-05-04,Sexy Soul 2020,5EMARioe9z9eKOeWIAC2JW,r&b,neo soul,9,1
16468,2cElznINAHvKeHzv97ZuAV,Caramelo,La Lá,1FsZ3DfeXndrOrpWNBWk6J,”Zamba Puta”,2017-03-25,Vibra Tropical,37i9dQZF1DX3fXJqxGjuEP,latin,tropical,9,1
31291,0lgHrv9qcVhwII3aW9aMZJ,Walls - Joris Voorn Remix,Yotto,52G9NCVcxhqGelA4JrKzTB,Walls (Joris Voorn Remix),2019-03-08,Deep Electronic Music 2020 & Progressive House,5CMvAWTlDPdZnkleiTHyyo,edm,progressive electro house,8,1
22758,6Ie9yuocD61v7hrh02moc6,Flash Light,Parliament,38d6Ea87Hc9x5SpEp5Xij6,Funkentelechy Vs. The Placebo Syndrome,1977-11-28,The 1950s/1960s/1970s/1980s/1990s/2000s/2010s with pop/r&b/soul/boogie/dance/jazz/hip hop/hop/rap.,1S7BckuYIkEazeNKOSM0uA,r&b,urban contemporary,10,1
18888,4BCPItsB94KDLuERZT3aNM,Fresa,TINI,2v2CUuzRvsBNb4c5Rj8nqi,Fresa,2019-09-06,Reggaeton 2020 ☀,7xWuNevFBmwnFEg6wzdCc7,latin,reggaeton,5,0
32558,7DP18u679fMurjsUxuxMHu,Rescue Me,DubVision,1lOgki2DNsUxFsalRq1wdj,Rescue Me,2019-06-14,"Festival Music 2019 - Warm Up Music (EDM, Big Room & Progressive House)",73uj4YmsC7SJ6SbUMTvf07,edm,progressive electro house,6,0
18850,7JUvz8eMJTJYJ1dHYUcK7y,Loco por Verte,Los Hitmen,1EFpDLISz1545NPGZ1ykvl,Loco por Verte,2019-12-06,Reggaeton 2020 ☀,7xWuNevFBmwnFEg6wzdCc7,latin,reggaeton,6,0
18374,3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,35s58BRTGAEWztPo9WqCIs,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,latin,latin pop,2,1
3006,2nsORFTaQPlc9FBqXuNYSW,Liquid Blue - Radio Edit,Papa Wave,4O2d9V8TGTB55srimOHfyk,Liquid Blue,2016-12-30,ELECTROPOP🐹,44p8nNLe4fGfUeArS3MaIX,pop,electropop,1,1
20860,3sgrKxWgDYh0thsqejwggc,Bangalang,Yung Felix,2puxjXdbw9zbT1gcMCGcEP,Bangalang,2019-07-19,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,1d0fonZHpN4LYHTKbmNRbm,latin,latin hip hop,2,1
16568,5HMMJiXSrxvfwN0aOwBog1,Human Music: Music For People,BENNIK,1dXDcGoRT9EUqi6LLFcyzk,Human Music: Music For People,2018-05-18,Tropical Vibes,37i9dQZF1DX6RA5ZrA5a23,latin,tropical,1,1
14413,68UIOPderAlQy5eb7K4iUO,Souvenir,León Larregui,6XMk5rlnvEtbOUhUlIGl0R,Solstis - De León Larregui,2012-01-01,②⓪①⑨ mixed,2bOjjgN1S3Gqd8vSMyafvJ,rock,permanent wave,4,0
10113,4mjfRYk0fLap5v6no1Aujw,Los Que Son,Jamby el Favo,2NMq8Mjk6JIlh5pY2H8b35,Los Que Son,2019-08-16,Trap Land,37i9dQZF1DXde9tuMHuIsj,rap,trap,1,1
23441,45Egmo7icyopuzJN0oMEdk,Love Lies (with Normani),Khalid,4CEAev7neETRdqBFtzA8B9,Love Lies (with Normani),2018-02-14,Hip Pop 2019,3tmx4p5RGlOV1AapXOt1Ze,r&b,hip pop,6,1
9293,0EBgUmVGz4bWLyOw19y81z,Saftige Schluhas,Olexesh,1KJNLLys9QWGugPHh1smgQ,Saftige Schluhas,2016-12-01,GANGSTA Rap,5GA8GDo7RQC3JEanT81B3g,rap,gangster rap,11,0
1067,7CfwMm7x2HLQ1bllMosD9k,Your Best American Girl,Mitski,5wxgAHOOA1fWv07nvIGwZD,Puberty 2,2017-10-20,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,7,1
22492,6j8k5yjxYXg5zxDOPoii5K,When You Praise,Fred Hammond,2mI4JRPhTGEZXw3g6dBCtA,Purpose By Design,2000-04-18,Gospel,0pItJZBDZFvgAOdFnSITnJ,r&b,urban contemporary,5,1
11413,75Eyxd1VgJKKIqMILFQ8mL,Stay the Night Forever,オメガトライブ,24sd1ZTrjjabj0A54XK0RP,NEVER ENDING SUMMER,1984-12-21,City Pop 1985 シティーポップ,3j2osvmecEao5nmo9jZ5df,rock,album rock,0,1
12217,1XxUDJp9zsjd6tBSvE3la4,Heavy Metal,Sammy Hagar,5EuL5NWA7SbMENWt8C16wn,Standing Hampton,1981-01-01,The Sound of Album Rock,3yj9YnQGTdnFuKbDyXGDi6,rock,album rock,2,1
21664,3ByAeJLS7g7s4oolHdxidF,Bernice Burgo$,Nino Khayyam,3Hge8wlgQhBZ4KulyOM5yU,Bernice Burgo$,2019-12-25,Top Urban Underground,4Gc9TFxlqmoe50m9Yy78ei,r&b,urban contemporary,1,1
5977,2CSsOy2PTQNkhPc7SRqr78,Mieć i nie mieć,Jetlagz,78IGWT0IQZ1WUScNRkw53O,Szum,2019-11-29,Generacja Hip Hop,37i9dQZF1DWXJnyndhASBe,rap,hip hop,8,1
17364,5y3X13iY0tzK9F7BR3D6RQ,Crónicas de un Debate de Amor,Lola Club,3HGrlhV6GDMVdFs2xN9AQ0,Ahora Todos Los Discos Tienen Nombre...,2018-05-28,Paraíso Tropical,2v41efarffe6iY8qpMK5Gj,latin,tropical,6,0
26644,2pjhbhe7wLELjw5PiEHgU1,Everybody Got Their Something,Nikka Costa,6naCoYpV9jkvkJwGj9jlYl,Everybody Got Their Something,2001-01-01,Neo-Soul Essentials,0DIwi1dMI59NItQtiNcevy,r&b,neo soul,9,1
5409,7pbETrTDObjfhVT4qh9J5q,"The Climb, the Fall",Luke Thompson,02DxdnSSZINmwmty2IpfQB,Strum Strum,2015-04-09,Deep-deep Bubble Pop,744VClUYfFnZCDPcOUkg5G,pop,indie poptimism,10,0
102,1LjxmkW3xRQP2HzswhYyyc,Let It Be Me,Steve Aoki,6nPJEALAjWKOE1jWPws7jj,Let It Be Me,2019-09-06,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,7,1
19659,0LcnZnhSQsoa9Dc51tj3wa,Quien La Vio Llorar,Don Omar,3hKDEHUzH1GmdohemezsEw,"The Gold Series ""The Last Don""",2004-01-01,This Is: Don Omar,37i9dQZF1DWYBUdckfg1va,latin,reggaeton,10,0
3301,11BAVEGi1ivJ6JWLqKUNrZ,Catch & Release - Deepend Remix,Matt Simons,58QMygeIUrtywKMkasnDUk,When The Lights Go Down,2015-09-30,Mix ElectroPop//ElectroHouse// DeepHouse 2020,23swqzpOZwW1NhPiZ7iyFI,pop,electropop,1,0
2871,41Fflg7qHiVOD6dEPvsCzO,Worth It,Fifth Harmony,0zAsh6hObeNmFgFPrUiFcP,Reflection (Deluxe),2015-01-30,Electropop - Pop,5TiiHps0hNCyQ6ijVkNZQs,pop,electropop,8,1
28708,116uqdetf6JQtnnlYsyBfa,Tokyo,Olly James,7b52NEWxD9xTEp5eXhZS8P,Tokyo,2019-07-12,Big Room EDM - by Spinnin' Records,7xWdFCrU5Gka6qp1ODrSdK,edm,big room,1,1
29343,7xLA7JuahNmSTYqPbL3A42,Flash Funk (feat. Marshmello),League of Legends,1KHalUH2ZfT38gIdT8MJdn,Warsongs,2016-01-14,Epic Bass Drops,49EXQVXh5k1t8SOhmUeyU7,edm,big room,2,0
1704,1ZH8NFVtXb6K6zOsAnlyOF,Story Of A Lonely Guy,blink-182,3QpsAEvpGg8Ai5aY0cy4Rb,Take Off Your Pants And Jacket,2001-01-01,Pop Punk | Post-Hardcore,1YgWQAs1s77NzieIH4ARKn,pop,post-teen pop,9,1
6054,0OvwzS8FX73Bw7ykMRmffU,Put It On Me,Ja Rule,2PIXzzS8WEzv8Ws92qspEH,Rule 3:36,2000-01-01,Hip-Hop Drive,37i9dQZF1DWUFmyho2wkQU,rap,hip hop,1,0
6995,2WqtCYZXu5cdUHgB9TAU9o,Impatient Freestyle,Drakeo the Ruler,6lL2hwp5Lj4BZyEgADonSa,So Cold I Do Em,2017-04-07,Southern California Hip Hop Primer,206vi9Q0p3juAU73flxPsz,rap,southern hip hop,2,1
23755,1M4qEo4HE3PRaCOM7EXNJq,Adore You,Harry Styles,5SL9nXZYZZl68bHwaM8uLa,Adore You,2019-12-06,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,r&b,hip pop,8,1
6190,2rmq49FcJ4U3wh1Z7C9UxE,IV. Sweatpants,Childish Gambino,0zi2TaQkYxfXIBvl2yTjQJ,Because The Internet,2013-01-01,Hip Hop Controller,37i9dQZF1DWT5MrZnPU1zD,rap,hip hop,4,1
15407,4YMQXzscifAREG0a7KNGhB,Black Magic Woman - Single Version,Santana,1YrdGK2y2Edq2R5gFja2ai,Santana's Greatest Hits,1969,Hard Rock Cafe Classics,3sv5ViKoPDNnZRsklzEGMN,rock,hard rock,2,0
11053,04EMkFMFkTaxWciZvxjkVT,Fvck Luv,Duki,0MyAjQ9P81k5nrRAvuutWc,Fvck Luv,2018-06-01,Trap Argentino - Trap Argentina,6ltss0ThreZ3uIMn5mr4Tm,rap,trap,4,0
32629,208ue7CjSH9oGfsgA5AN06,Wind,Christian Smith,01If16QFSRwIliLIqTkSOz,Synergy,2017-10-23,Underground Party | Hypnotic | Minimal | Acid | Big Room | Tech | Liquid,29jj7pQlDqnWclbHQk21Rq,edm,progressive electro house,6,0
18642,5GB82gaWr4d7U4AtJyfVi1,Medellín - Offer Nissim Madame X In The Sphinx,Madonna,106SyrCt4mxTIyeXDF9Tgg,Medellín (Remixes),2019-05-09,Latin Pop 2019,5wONX0lVyQE5XTxqjTUiUd,latin,latin pop,1,1
30248,6mAN61JH0dzyZpWslS11jy,Fantasias,Rauw Alejandro,1Flcx9eDuv7pTGM9nJBmGL,Fantasias,2019-08-29,Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs,3xMQTDLOIGvj3lWH5e5x6F,edm,pop edm,1,1
31973,5wH0WgmowRwJOhVUZE9miS,Come Through,Spencer Annis,7DT0xGsfOEah2mgYAcJdo5,Come Through,2018-10-12,CHRISTIAN ELECTRO / DANCE / EDM,0MhTMIo1bgH6zzPh7BdChT,edm,progressive electro house,6,0
17793,3EfqlNLh9HHLh8YkmezU5h,Una Noche,Rauw Alejandro,4BfohIGxdxbl1aybnyJSEV,Una Noche,2019-11-20,LATIN POP 2020 🔥 Pop latino actual,2kKzN3kRYDzBctlaWs7CP2,latin,latin pop,9,0
17327,0W5SiYQOGUsgpmL86KkPJz,Zipolite - Remix,Zilvano,6oklpW9cdzpRpdGyz6w4cf,Zipolite (Remix),2020-01-10,Paraíso Tropical,2v41efarffe6iY8qpMK5Gj,latin,tropical,9,1
20373,33bnxcjePIkcmNjEFTJX0l,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,70WadO9CAH4rOI1rEbTS0a,Déjala Que Vuelva (feat. Manuel Turizo),2017-10-20,Latest Latin American Hits 2020,51LvliKED7oZNJR8XCiPip,latin,latin hip hop,1,1
7941,2g9E9UyZ3pdJ1eqUQW0tfQ,Xxplosive,Dr. Dre,5csXMdS69VOvh8MjyfwkjB,2001 (Explicit Version),1999-01-01,Hip-Hop 'n RnB,0275i1VNfBnsNbPl0QIBpG,rap,southern hip hop,1,1
4373,2eLDUK7EkpENZkDL9O5yhz,at least i look cool,Sasha Sloan,3DrwGrEPG3Rq9mIsZVuklB,at least i look cool,2019-07-19,2019 in Indie Poptimism,16RNbqnNCCLlBJti7JU5nc,pop,indie poptimism,6,0
17832,5BDP2tky8oMQJPS33frKVp,Un Año,Sebastian Yatra,4Vtx3PxyOfBUBuEYAIocsP,Un Año,2019-01-18,LATIN POP 2020 🔥 Pop latino actual,2kKzN3kRYDzBctlaWs7CP2,latin,latin pop,1,0
31591,25ZBQm6D2CPdc36Ftlz69r,Can't Go Home (feat. Adam Lambert) - Crystal Lake Radio Edit,Steve Aoki,3UfFBZ8671xN3fnuXgPXOC,Can't Go Home (feat. Adam Lambert) [Remixes],2016-08-26,Hands Up‏‏​​   ‍,1lSdljPk8zcAdXVMUduDia,edm,progressive electro house,9,0
15072,0t9ZCDl0rPqoHUSuFHX7as,At the Wheel,Colorblind,7rdud2MmWXRsS74ofzVU6S,At the Wheel,2019-11-15,Hard Rock Workout,3YouF0u7waJnolytf9JCXf,rock,hard rock,9,0
11154,2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),Meek Mill,6UYZEYjpN1DYRW0kqFy9ZE,Championships,2018-11-30,Trap 2020 🔥,37DFLy7lqF3qiR99Ss2ZGR,rap,trap,4,0
2132,5P5cGNzqh6A353N3ShDK6Y,Bad Romance,Lady Gaga,034EE1ofh9OM6wJBqd2xYo,The Fame Monster,2009,BALLARE - رقص,1CMvQ4Yr5DlYvYzI0Vc2UE,pop,post-teen pop,0,1
4664,6rrTr2HEAzlpC4KWZxF3S1,Woman Like Me (feat. Nicki Minaj),Little Mix,0LwHCgw6mequ1dExqQEFpS,Woman Like Me (feat. Nicki Minaj),2018-10-12,indie poptimism🕺🏻,6MQeEHHDs6HQkN5Dlj3oKo,pop,indie poptimism,5,0
9292,3P5ZMbUFyv5XnJ8WYi0vdZ,Ich weiss was gut ist,Olexesh,7LJ3J5Kg1P108JrAC6ahOs,Strassencocktail (Deluxe Version),2015-09-25,GANGSTA Rap,5GA8GDo7RQC3JEanT81B3g,rap,gangster rap,7,1
19380,0Z4mRtb8Uc8xASEhGUlUyI,Mimosas,LATENIGHTJIGGY,1O9JEFTFeguhO0YBbwHsMr,Flavors - EP,2019-08-30,Academia Reggaetón,37i9dQZF1DXd8p9XRfIfUn,latin,reggaeton,11,0
32060,2MaU0zb75fuPS5DVKd0jqh,Tick,Happi,2X5VyvTVPQPXdTyEWGMkgS,Tick,2019-02-08,CHRISTIAN ELECTRO / DANCE / EDM,0MhTMIo1bgH6zzPh7BdChT,edm,progressive electro house,9,1
26979,4dY3ZMq5PSGT2Q7zgrpTmm,In The Cut,Good Times Ahead,3pN3gT74QR1Rw0EA6qKwkY,Good Times Bad Times at HARD Summer,2019-08-20,Nasty Bits,37i9dQZF1DX2VvACCrgjrt,edm,electro house,2,1
12470,2hdNya0b6Cc2YJ8IyaQIWp,Livin' Thing,Electric Light Orchestra,7a35UzxXYuKQGMGImyB0Un,A New World Record,1976-09-01,Classic Rock,5BygwTQ3OrbiwVsQhXFHMz,rock,classic rock,0,1
8623,5UbJK7IHuc6BSZCwagzp3L,I Get Money,50 Cent,4BSvr6wzkjv5t76Sw067hI,Curtis,2007-01-01,Gangster Rap Workout,0ZRwrJ2EDGyKR6YgQPWXeO,rap,gangster rap,9,1
20090,68NsKQfuKRG43HgMhkb9j1,You Have One Devil but Five Angels,Jedi Mind Tricks,3Q2CoOVzu8dpbQ6R4HGqsA,You Have One Devil but Five Angels,2018-06-01,Chicano Rap,3o3xRXWMtBMezk0E3wmtGI,latin,latin hip hop,11,0
28780,3dbIcvveDU2NdfDa4TNHOh,Ecuador,Sash!,0Xmi5L0rSWQZEuDcO7O7eV,Ecuador,2016-02-05,BIG-ROOM NEVER DIES !,4QtO2XySphMOJt7pX0yaVi,edm,big room,3,0
14483,4yugZvBYaoREkJKtbG08Qr,Take It Easy - 2013 Remaster,Eagles,51B7LbLWgYLKBVSpkan8Z7,Eagles (2013 Remaster),1972,I didn’t know perm stood for permanent (wave),3e6gYPyrTbaB8BWgSHCt5j,rock,permanent wave,7,1
24623,7deFhi7zKJHlR1dtuY69gv,Between Me & You,Ja Rule,0pTkklbz3Z2nngNxOk8xbM,Rule 3:36,2000-01-01,Ultimate Throwbacks Collection,1dsaMvnC1hXPCNGC4aVtjj,r&b,new jack swing,0,1
9452,5BBVTlHaSDBJ0Wc25p9yCB,Рванарана,Litvinenko,2pJdHL7gUQr3uhqWOnZQ1x,Рванарана,2018-07-23,RUSSIAN Gangster Rap,0Jw0HckkxCfIrOvpN081eV,rap,gangster rap,6,1
10184,2Zu0RM1e8qBQDfVIm072ki,Jagodzianki (prod.by Abel de Jong),Malik Montana,3WYoVnhqxg6nWZbk1ra5eV,Jagodzianki (prod.by Abel de Jong),2019-04-05,Trap strefa,37i9dQZF1DWY3UKS6jvnxr,rap,trap,9,0
14355,2lffRiAET2Xt6BNb4EmkS2,80's Comedown Machine,The Strokes,4WnkQO4xD9ljQooB3VIxCV,Comedown Machine,2013-03-22,②⓪①⑨ mixed,2bOjjgN1S3Gqd8vSMyafvJ,rock,permanent wave,0,1
17794,40rXWke6SnXiGkSmaT8ZUr,Fantasía,Ozuna,7f6r6ijWtMJ0QYydwuCYvH,Nibiru,2019-11-29,LATIN POP 2020 🔥 Pop latino actual,2kKzN3kRYDzBctlaWs7CP2,latin,latin pop,2,1
14838,4SzxBp2OeQ7DTlCPwVSnYk,Sin on Skin,Those Damn Crows,7m5D1cM9LQH1wHXBsDWe3O,Sin on Skin,2019-10-18,Hard Rock,37i9dQZF1DX1X7WV84927n,rock,hard rock,1,0
11490,38RI4pQFGNyWFVnhogStzH,Analyse,The Cranberries,592j1syleeHJWGP5a4kYPm,Wake Up And Smell The Coffee,2001-01-01,The Cranberries Best Of,4E3K9oQgvLcKEz0wgBBXxD,rock,album rock,4,1
24158,6N9uyMZf9pbNOuomveWscp,I Wanna Be Down,Brandy,2yHJoGH0mIqYVAHUFKJcZ6,Brandy,1994,New Jack Swing - 90s R&B fused w Hip Hop,79xd4wnVuKZK4rJMsL2wPa,r&b,new jack swing,11,0
23067,4pmc2AxSEq6g7hPVlJCPyP,"Jumpin', Jumpin'",Destiny's Child,283NWqNsCA9GwVHrJk59CG,The Writing's On The Wall,1999-07-27,Feeling Accomplished,37i9dQZF1DWTDafB3skWPN,r&b,hip pop,1,1
15203,5C4eNmmQrEGRDx9iBGYzC4,Loving Is the Way,Alex McArtor,7uLKECI0redf9zJvj6XDU6,Loving Is the Way,2019-09-11,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock Rock  Classicos",3Ho3iO0iJykgEQNbjB2sic,rock,hard rock,0,1
17569,3pz19CAY4yX7FSnTWDu3La,Completamente Enamorados,Chayanne,5vdBZ9BMY2tZbvxYmKsGUR,Tiempo De Vals,1990,Latin Pop Classics,37i9dQZF1DX6ThddIjWuGT,latin,latin pop,10,1
9639,3J5SeyQv9mh2eEMxAJ4iNg,Hail Mary,2Pac,4N35JBVRFMrHiOz76vy9vv,2Pac Greatest Hits (Explicit Version),1998-11-24,90s Gangsta Rap / Top Hip-hop Classics,0C2zyPdlkbWHrwVg9gqNdU,rap,gangster rap,10,0
23594,2IB77wzVzpShM5yXEzATTN,Hold You Down,Milli,1BTngRpBlfQp20AtA32icX,Hold You Down,2020-01-14,"Latest Hits 2020 - Pop, Hip Hop & RnB",7FqZlaYKkQmVnguJbHuj2a,r&b,hip pop,1,1
13660,3ZpQiJ78LKINrW9SQTgbXd,All I Wanna Do,Sheryl Crow,7dC6axVAeBDpRMmNtRbpwU,Tuesday Night Music Club,1993-08-03,The Sound of Permanent Wave,4EYSGTuqe9cVfSVpX4gtGv,rock,permanent wave,9,1
19528,7vuTGX2beaUCUSE4herXc6,Entre El Cielo y El Infierno,Christian Nava,5UdncOus9PkoX4FjhjPN8G,Armonia,2019-11-22,Reggaeton 2020 😍 🔥,03sDEv7FN58Mb9CJOs1Tgn,latin,reggaeton,6,1
24861,2OWzR8QoH7KaLtiN65v32x,Hard To Say I'm Sorry,Az Yet,0OMxYaCIggV2z8aOKbGbEk,Az Yet,1996-10-17,The Sound of New Jack Swing,0zn8nuASKC0PISqD9mxCSV,r&b,new jack swing,5,0
23582,4wNIkl5XGiAACjFBlDWuSd,What A Man Gotta Do,Jonas Brothers,3SgvmlSsTrMuqICaOTlo0p,What A Man Gotta Do,2020-01-17,"Latest Hits 2020 - Pop, Hip Hop & RnB",7FqZlaYKkQmVnguJbHuj2a,r&b,hip pop,9,1
23135,7wBYgcmeStDfjTWcN19ERz,Get Crazy,Viviana Edera,73miJxvDtDbwJPv1ma94wF,Get Crazy,2019-10-04,Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs,3xMQTDLOIGvj3lWH5e5x6F,r&b,hip pop,2,1
22060,4WO5q4gmBiPJbv2xqVDADE,Entre Dos Aguas - Remastered 2014,Paco de Lucía,4pYvRFog3iS3UPipDzkKQZ,La Búsqueda (Remastered 2014),2014-01-01,Urban contemporary,1ZlL3IQS8eB0s0RMxz02yD,r&b,urban contemporary,4,0
9860,00t7QTffOR3SA3L1BvSQVq,Suicidal Thoughts - 2005 Remaster,The Notorious B.I.G.,2ymwUMeW3BySLhKNp8UQZ3,Ready to Die (The Remaster; 2015 Remaster),1994-09-13,Rap Party 24/7 Radio / Gangsta Rap,4sGnz2x5tbHE2YlW1nemfb,rap,gangster rap,8,1
13330,2RH10TTlPhq8S61rXlVssL,You're All I've Got Tonight,The Cars,4tJPWT4r4FSKwy784Qs1Fq,The Cars,1978-06-06,Classic Rock Greatest Hits,6TeyryiZ2UEf3CbLXyztFA,rock,classic rock,11,0
15471,0UrWr7Jnu1heq1o99ZwUd0,Youth of the Nation,P.O.D.,4eUmncMYQRg0Ot29KKqbuk,Satellite (U.S. Version WEA Distribution),2001-09-11,Hard Rock Workout,6kXNv8J3HCYztxjOIUzApv,rock,hard rock,8,1
10731,0iwr5Kp0R2RVpBUOVIzMCs,Earif Habibi,Amorf,0PgXNoUvb7amIasYqLrnI4,Hayat,2019-03-29,Arabic Trap,37i9dQZF1DXcC6YLqj8ET8,rap,trap,0,1
9530,5FvlQZTm4eOGeUiAB1bKc9,No Vaseline,Ice Cube,4k5sb7GI0J55nMSyIHJsXg,Death Certificate (25th Anniversary Edition),2017-06-09,Gangsta Rap/90's Hip-Hop,62spXXfUxBed8nbd5xvH2O,rap,gangster rap,11,0
18703,7lehsJ3H2C57ZWIhY1YPe3,Lost My Soul,Burning Fierce,5dVTdffaZkcaRSfjkcXr3m,Breathe in and Out,2017-05-08,Great Pops,5SO7xYih5w8X5FEpKvU7Rt,latin,latin pop,5,1
6326,1NHlyKgtR4roNylOhidKSv,Girls Have Fun (feat. G-Eazy & Rich The Kid),Tyga,1KLUE6sVMdRUxD3MRUyS0M,Girls Have Fun (feat. G-Eazy & Rich The Kid),2019-01-23,Hip-Hop Mixtape,37i9dQZF1DWVdgXTbYm2r0,rap,hip hop,8,1
