,track_popularity,track_id,track_name,track_artist,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,key,mode,combined_text
11738,59,1HlGblweLq0eAwnb0NY1EQ,18 and life,Skid Row,0D48ZbriW82M2GbOKCbd1G,best of,1998,Mega Rock Ballads: The Best Slow Rock Compilation Ever !,6LJtRKgDpzM8ZbbwC0jLhe,rock,album rock,1,0,18 and life best of rock album rock
23797,79,0CZ8lquoTX2Dkg7Ak2inwA,1950,King Princess,5p0UaZsYWMn4L1dSpc6AhN,1950,2018-02-23,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,r&b,hip pop,4,1,1950 1950 r&b hip pop
1711,59,4UuHWIkAWnN176A2rx7YFB,1985,Bowling For Soup,7JST4gPYSXFegyuk9nKFb0,a hangover you dont deserve,2004-09-11,Pop Punk | Post-Hardcore,1YgWQAs1s77NzieIH4ARKn,pop,post teen pop,4,1,1985 a hangover you dont deserve pop post teen pop
7283,26,0I7EJmk6S47mpVh73dB02r,1st 10,Ludacris,2kT80DHqRtHQzDhQ2RCoIV,back for the first time,2000-01-01,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,9,1,1st 10 back for the first time rap southern hip hop
21663,34,6cEN20oV48UUxNDhhoS2XV,2 am,Lil Mop,3HaatOmgEAZSjkE09dTPa7,2 am,2019-09-20,Top Urban Underground,4Gc9TFxlqmoe50m9Yy78ei,r&b,urban contemporary,8,1,2 am 2 am r&b urban contemporary
16728,70,0EdgK7ASb4kfRkW8pVMN02,2 hearts,Sam Feldt,798RdmwmE3IZcZnW0jT7kc,2 hearts,2020-01-10,Tropical House 🏝 2020 Hits,2SRbIs0eBQwHeTP7kErjwo,latin,tropical,7,1,2 hearts 2 hearts latin tropical
9534,54,6S5SJlNXgrUBTLa58NMwGk,2 of amerikaz most wanted,2Pac,1WBZyULtlANBKed7Zf9cDP,greatest hits,1998-01-01,Gangsta Rap/90's Hip-Hop,62spXXfUxBed8nbd5xvH2O,rap,gangster rap,1,1,2 of amerikaz most wanted greatest hits rap gangster rap
5916,79,4Hqh0dS4x07zuRw6eBTO7p,20 20,Lil Tjay,7HUt8oIXR90aLnzugUXM6U,20 20,2020-01-01,Hip-Hop Central,37i9dQZF1DWY6tYEFs22tT,rap,hip hop,4,1,20 20 20 20 rap hip hop
21314,73,5jGUJXnELDaDTgiRjD9lsg,200 mph,Bad Bunny,7CjJb2mikwAWA1V6kewFBF,x 100pre,2018-12-23,Los Cangri,2hTs6GuPwhmg4ApNqxWXLE,latin,latin hip hop,8,1,200 mph x 100pre latin latin hip hop
23281,83,2BgEsaKNfHUdlh97KmvFyo,2002,Anne-Marie,7lPoGKpCGgdKFAxpudhAH5,speak your mind,2018-04-27,Hip pop,1Sc7bobknESH7SXQcnmoX5,r&b,hip pop,1,0,2002 speak your mind r&b hip pop
21654,51,0Duevp5ytVdmRkCWFXQHwr,21,H.E.R.,0IMTA2Wz6p8CNZ0MDK2zvg,i used to know her,2019-08-30,New R&B‏‏​​   ‍,4I6rTSxqKl1LRvES2O9owQ,r&b,urban contemporary,1,1,21 i used to know her r&b urban contemporary
1907,75,64yrDBpcdwEdNY9loyEGbX,21 guns,Green Day,1AHZd3C3S8m8fFrhFxyk79,21st century breakdown,2009-05-15,Dr. Q's Prescription Playlist💊,6jAPdgY9XmxC9cgkXAVmVv,pop,post teen pop,5,1,21 guns 21st century breakdown pop post teen pop
28569,18,6P3QCCBOx9mMGCKr2RAZgc,24 7ers,Colin Cooper,2Ow9qmIIc3N6SSi9yLFcVw,24 7ers,2019-09-13,PAROOKAVILLE - Big Room,6vbHQdtfmexb0ptmBSpemm,edm,big room,9,1,24 7ers 24 7ers edm big room
16882,54,5fq4jxlqyjAVFLOB0lZIdT,25 horas,Proyecto Uno,0zBYmCiHOfrng2FYSeWPUr,25 horas,2014-05-31,TROPICAL🌴,0TT57Pe3RZNGCy98G1UQpM,latin,tropical,4,1,25 horas 25 horas latin tropical
19281,71,0yyZN5ASdrYu0XYWFzfxUu,3 am,Jesse & Joy,6DAFWiPpok2nZEtjdSZO3X,3 am,2017-08-18,Reggaeton Rewind,37i9dQZF1DXco4ODkIraMD,latin,reggaeton,0,1,3 am 3 am latin reggaeton
4092,56,1mZF9TEc7gpw7by7NCZSKr,3 strikes,Terror Jr,5hejwRvyklqZbpNfkAMjff,bop city,2016-10-21,The Sound of Indie Poptimism,7nHgmv7uyIA1KHj6qTttjH,pop,indie poptimism,5,1,3 strikes bop city pop indie poptimism
10044,62,5x9FUcABwqYAOMptRedOku,30 bandido,Costa Gold,10Vr2eJsCrrMUptuMbx2Ug,30 bandido,2019-07-26,Trapperz Brasil,37i9dQZF1DWWr5uieiPUVM,rap,trap,1,1,30 bandido 30 bandido rap trap
13971,68,5vYA1mW9g2Coh1HUFUSmlb,3am,Matchbox Twenty,4vUXTcKz7tXxrNl84meN6i,yourself or someone like you,1996-10-01,Permanent Wave,2ExyzXAbukW7I8bDqdGvPB,rock,permanent wave,8,1,3am yourself or someone like you rock permanent wave
17654,78,47LFcy7prvEY5D08d26zOo,40,Aya Nakamura,0qGjuUdOjuQfy8zgMHNi66,nakamura,2019-10-25,Global X,37i9dQZF1DWUxHPh2rEiHr,latin,latin pop,11,1,40 nakamura latin latin pop
7025,45,5nXQHx4yYKsZqrm7y4bj03,400 degreez,Juvenile,6wpqS71CJr3I0dLguYiZdJ,400 degreez,1998-01-01,Dirty South Rap Classics by DJ HOTSAUCE,0tLHH1C4HkWEUCXXSSjbOe,rap,southern hip hop,3,1,400 degreez 400 degreez rap southern hip hop
6439,63,4s2BWgnSQ9NZiOQM4PP4HB,44 bars,Logic,0WMr3ulx5Mzi1B3C8LsHVA,bobby tarantino,2016-07-01,This Is Logic,37i9dQZF1DWTIuAboZgTMf,rap,hip hop,6,0,44 bars bobby tarantino rap hip hop
16447,40,0WXBLLPbYbYllFJWU61hwa,4am,Marrón,4E39syrDiQYSJamBhVAIBy,4am,2019-06-28,Vibra Tropical,37i9dQZF1DX3fXJqxGjuEP,latin,tropical,6,0,4am 4am latin tropical
23930,36,5GqfECiGasjkiAbarsHscK,5 am,REMI,7inYjp8NePlbUpPBLkCRzw,5 am,2019-07-11,Smooth Hip Hop,7ozFIvz1bE1HPgQTUl5qfT,r&b,hip pop,2,1,5 am 5 am r&b hip pop
14516,69,6Qb7gtV6Q4MnUjSbkFcopl,50 ways to leave your lover,Paul Simon,4A366gjTrYQwmRtkTezF2W,still crazy after all these years,1975-10-25,I didn’t know perm stood for permanent (wave),3e6gYPyrTbaB8BWgSHCt5j,rock,permanent wave,7,1,50 ways to leave your lover still crazy after all these years rock permanent wave
23966,54,2KaRk8KFLzdiwHSZCG7zgV,500 benz,Joey Bada$$,0qvfg8rQJsC9iFinKXV5jj,500 benz,2017-07-06,Smooth Hip Hop,7ozFIvz1bE1HPgQTUl5qfT,r&b,hip pop,11,0,500 benz 500 benz r&b hip pop
18955,70,3uvypVUsiIr1B0BccIcsEh,6 am,J Balvin,5Fqdd85mAoGDp0K9lmbPDp,la familia,2013-09-29,Reggaeton Classics,37i9dQZF1DX8SfyqmSFDwe,latin,reggaeton,5,0,6 am la familia latin reggaeton
10770,83,7tgjDlQsMR8RvkdlNCJA58,6 kiss,Trippie Redd,0tKX7BLXiiRgXUKYdJzjEz,a love letter to you 4,2019-11-22,Sad Trap,7kzKtw5vug3IIxKfLadi8A,rap,trap,2,1,6 kiss a love letter to you 4 rap trap
4350,64,4DAaQ5InUO23d8yNRbB0Yj,6 to 9,Big Wild,7LZAgsQQr0cm61SmUdgKlz,superdream,2019-02-01,2019 in Indie Poptimism,16RNbqnNCCLlBJti7JU5nc,pop,indie poptimism,8,1,6 to 9 superdream pop indie poptimism
6660,76,36J10AwMabBYxgNrV2S8gd,6am,Dardan,4M4o0KwSDkhMZpcmTci2qz,6am,2020-01-10,Modus Mio,37i9dQZF1DX36edUJpD76c,rap,hip hop,0,0,6am 6am rap hip hop
23061,71,02M6vucOvmRfMxTXDUwRXu,7 11,Beyoncé,2UJwKSBUz6rtW4QLK74kQu,beyonce,2014-11-24,Feeling Accomplished,37i9dQZF1DWTDafB3skWPN,r&b,hip pop,9,0,7 11 beyonce r&b hip pop
22100,80,6X29iaaazwho3ab7GNue5r,8,Billie Eilish,0S0KGZnfBGSIssfF54WSJh,when we all fall asleep where do we go,2019-03-29,Urban contemporary,1ZlL3IQS8eB0s0RMxz02yD,r&b,urban contemporary,3,1,8 when we all fall asleep where do we go r&b urban contemporary
23444,77,4zRZAmBQP8vhNPf9i9opXt,8 letters,Why Don't We,2qIbHfs93z6eDwGoAdCkXA,8 letters,2018-08-31,Hip Pop 2019,3tmx4p5RGlOV1AapXOt1Ze,r&b,hip pop,1,0,8 letters 8 letters r&b hip pop
14355,53,2lffRiAET2Xt6BNb4EmkS2,80 comedown machine,The Strokes,4WnkQO4xD9ljQooB3VIxCV,comedown machine,2013-03-22,②⓪①⑨ mixed,2bOjjgN1S3Gqd8vSMyafvJ,rock,permanent wave,0,1,80 comedown machine comedown machine rock permanent wave
4358,65,5teOR8KU4XNWY2WlVUDiIR,85,Loote,0hc021mB0QDSF4uCTr3Ki7,lost,2019-06-14,2019 in Indie Poptimism,16RNbqnNCCLlBJti7JU5nc,pop,indie poptimism,7,1,85 lost pop indie poptimism
25019,16,1llLVlNKPKg4TWaDS9CDit,90 girl,Black girl,3zsBKZBR5spjJttcFARQIz,90 girl,1994,Kenny B's Ultimate New Jack Swing Mix,7bdhfXlbfml9CuNn5c7372,r&b,new jack swing,11,0,90 girl 90 girl r&b new jack swing
6470,44,2q7kLQFjeVWs6iIW3zwiTd,92 baby,W3alth,06lIR7SlHIvoef3GIdxTe4,92 baby,2019-07-12,Lofi Hip-Hop,37i9dQZF1DX36Xw4IJIVKA,rap,hip hop,6,1,92 baby 92 baby rap hip hop
23560,61,7hN5TKSdRb56uytwIpcUES,99 problems,Hugo,6Tolvy5sgnENXLNDNwQ9L6,old tyme religion,2011,Bluegrass Covers,37i9dQZF1DX56crgoe4TG3,r&b,hip pop,9,1,99 problems old tyme religion r&b hip pop
26053,43,3aNxoS85gPgXzaVMQ6N5ui,a change is gonna come,Leela James,1PI1juIuPm3zq1nIOBJl5S,a change is gonna come,2005,NEO FUNK AND SOUL,2WbTrS5D0V2TW6DiDkJBru,r&b,neo soul,10,1,a change is gonna come a change is gonna come r&b neo soul
14890,43,2o2s2pMpIqJxfL8PIELLAT,a death in the family,Sum 41,24rGFjWezGBKf5QrvBDGBG,a death in the family,2019-06-11,Hard Rock,37i9dQZF1DX1X7WV84927n,rock,hard rock,1,0,a death in the family a death in the family rock hard rock
9933,59,7EnGzsqQi0bAVGQw8i4WIQ,a death in the ocean would be beautiful,$uicideBoy$,1gbgmfoERh4YxIVyyjS8Hp,my liver will handle what my heart cant,2015-09-21,< DARK TRAP >,19WuHd4MxWLzE1fpMmw4S4,rap,gangster rap,5,1,a death in the ocean would be beautiful my liver will handle what my heart cant rap gangster rap
14255,56,0uJyE3M3ecGZgzltsQKs3a,a design for life,Manic Street Preachers,3jvKfPU4A2j7tVOFkhcEi2,everything must go 10th anniversary edition,1996-05-20,Permanent Wave,5glAD13obyL0G9SH9ukBz2,rock,permanent wave,0,1,a design for life everything must go 10th anniversary edition rock permanent wave
2550,9,0Wv5wuenRLI3BcwgT3HPIP,a different way,DJ Snake,4urwuJbStO1K5ph63U7AZv,a different way,2017-09-21,Electropop Hits  2017-2020,7kyvBmlc1uSqsTL0EuNLrx,pop,electropop,8,1,a different way a different way pop electropop
692,77,671sG3ETDxC3L6qcGIrHRM,a donde vamos,Morat,1rZx9sSqtP2gy4jmIZwVYc,a donde vamos,2019-10-31,Todo Éxitos,2ji5tRQVfnhaX1w9FhmSzk,pop,dance pop,0,1,a donde vamos a donde vamos pop dance pop
19857,57,4N5qvaVICVIRxBXGW3FwGa,a ella,KAROL G,7iaqLuLOgTXPaxEziNjbsu,a ella,2017-05-05,latin hip hop,3nH8aytdqNeRbcRCg3dw9q,latin,latin hip hop,2,1,a ella a ella latin latin hip hop
18039,26,5t5v3w3RWdwDLJ7pqti9Kk,a escondidas,Bonka,5JQIT6JvMHDXzXeHWytfTy,mas que ayer,2015-07-07,Latin Pop antiguo,4BmnnqWEQAamNoVjtjrQJP,latin,latin pop,5,1,a escondidas mas que ayer latin latin pop
15135,62,2mMNBgFRyEiRoGvrdoONeq,a grave mistake,Ice Nine Kills,3DVjLNjzyZBVc8eZcJoulz,the silver scream,2018-10-05,Hard Rock Workout,5nOO372uzpOM5rB2bRWfkp,rock,hard rock,6,0,a grave mistake the silver scream rock hard rock
11850,77,54eZmuggBFJbV7k248bTTt,a horse with no name,America,0E5IKYhiKgbYQkmfsFonbZ,america,1972,70s Pop & Rock Hits and Deep Tracks,1uKFRCQYci8kVgMy3xzTVH,rock,album rock,11,0,a horse with no name america rock album rock
8547,36,4KGMWul1fFHccT8SWhaGYp,a little more,Moosh & Twist,487GIpv2vpP6VClb7riVfc,a little more,2019-10-18,Gangster Rap,5joQabz9ys3XPGbSx5CaKv,rap,gangster rap,1,0,a little more a little more rap gangster rap
25213,54,1CeizRCGEYPWooEeVfmyFL,a long walk,Jill Scott,620y2xi6SkUb6IZlnnWxuG,who is jill scott words and sounds vol 1,2000-07-18,Neo Soul Music,78RRvktrPMSqAoCI21mNOe,r&b,neo soul,6,0,a long walk who is jill scott words and sounds vol 1 r&b neo soul
7224,46,4T4MW44Qmowo4qM3KwkVsU,a milli,Lil Wayne,33n50in46BfBlG8PbsD7AP,tha carter iii,2008-01-01,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,6,0,a milli tha carter iii rap southern hip hop
31421,9,6lheVNyIjiezy9IgLfWqq6,a million lights,Grant Smillie,1keHPlXQTCd2dIVD8K7yRE,a million lights,2012-09-07,Vocal House,5PCAWKfUWAUj8VeY8G7xRQ,edm,progressive electro house,9,1,a million lights a million lights edm progressive electro house
18176,54,2WXTF0qgKbczC2O8VymeLO,a sky full of stars,Coldplay,1hNS0RsxPTFjmKXCgmjSLS,ghost stories live 2014,2014-11-21,Unplugged Hits 📣,5NTm3injIRkUMROsZr3C2O,latin,latin pop,6,1,a sky full of stars ghost stories live 2014 latin latin pop
17868,17,3T5QSIgoaPIh07SwixRDp7,a solas,Lunay,4kkZsCc8FiqMmq1sLBk6Na,a solas remix,2018-12-07,LATIN POP 2020 🔥 Pop latino actual,2kKzN3kRYDzBctlaWs7CP2,latin,latin pop,6,0,a solas a solas remix latin latin pop
20408,79,6lanRgr6wXibZr8KgzXxBl,a thousand years,Christina Perri,15yvc643iYfQtb6zh9NEJo,a thousand years,2011-10-18,Pop 2009-2011,3gV6KQYZKIuoWml0094vx6,latin,latin hip hop,10,1,a thousand years a thousand years latin latin hip hop
17622,67,7ylkmI5exdKG5Myo7DuH2p,a tu manera,Sofia Reyes,0iGPhmdLQ1P3bZeTQmK3qB,a tu manera,2019-10-11,Latin Pop VIP,37i9dQZF1DX1QnNyJOBQBv,latin,latin pop,5,0,a tu manera a tu manera latin latin pop
19075,50,7JGUQpRKKQf1CfZFBVYPxi,a vapor,Sky,5e4LbOAKFdEfFzbNPGUZur,a vapor,2020-01-17,El Ritmo,37i9dQZF1DWVOLXBOylBUZ,latin,reggaeton,11,1,a vapor a vapor latin reggaeton
20249,34,6KrCPjBhvH6h3CLX8AMt9x,a veces,David Khalis,20pEz1tm5mNnqMaXwlpA0j,a veces,2019-12-20,Urbano: Latino Vibes,0VsVywryrqLhHmsVFVcOAg,latin,latin hip hop,7,0,a veces a veces latin latin hip hop
21140,49,0avEVorPMJyPPolMbeonBB,a las cosas por su nombre,Violadores Del Verso,6LeLj7gigY7PBgPVZ6P25f,vivir para contarlo,2006,HIP-HOP: Latin Rap ['89-present],5fWgI0IJ1el5NB1sZ0Egsx,latin,latin hip hop,2,1,a las cosas por su nombre vivir para contarlo latin latin hip hop
29206,33,7gmLcEPIL4wDUk8DykPBk6,asian boy,Chriilz,5QsgovsMFrQMbSpjfap2Fa,asian boy,2019-06-21,SINULOG Festival 2020,0COM4nZqdXC3sMjVdcaU7V,edm,big room,2,1,asian boy asian boy edm big room
1232,48,3cCfCaMqeAnTekr6sf2rX6,anthem,Connor Bvrns,4AoeQekkgGdvWP7EWSboug,anthem,2020-01-10,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,8,0,anthem anthem pop dance pop
10291,42,3daKw0CwgbuSvRkseIMiTK,anxiety,KLOUD,6jvy9mZRW39ZegAQFlED7y,primal,2020-01-13,Trap Nation,0NCspsyf0OS4BsPgGhkQXM,rap,trap,1,1,anxiety primal rap trap
8514,48,6Uw77XfBxwg7VX6mMdqAmT,arrogant american freestyle,Riff Raff,7wzqmeAHlPmQBcoEaB8TTg,arrogant american freestyle,2020-01-10,Gangster Rap,5joQabz9ys3XPGbSx5CaKv,rap,gangster rap,1,0,arrogant american freestyle arrogant american freestyle rap gangster rap
17667,67,4IJEw3fDvS6XF4sDc3bvjK,aya,Murda,1sYp4cvm9m8xmyDPYxyKyx,aya,2019-09-20,Global X,37i9dQZF1DWUxHPh2rEiHr,latin,latin pop,5,0,aya aya latin latin pop
29439,29,0EDfSAmfJj8xiTn5hP9UNP,above the tide,Radiology,5tdno9yToda5i0EXq6oYCr,above the tide,2019-01-18,Big Room 2019,6SrHyxIxWfQx9ISEr6yowk,edm,big room,6,0,above the tide above the tide edm big room
17987,44,75ltnODzDPQQiralQWDnXm,abriendo puertas,Gloria Estefan,1wXWeF4U9kpTYcBNBa1udG,abriendo puertas,1995-08-03,This Is Gloria Estefan,37i9dQZF1DXarsfY89zXC6,latin,latin pop,8,1,abriendo puertas abriendo puertas latin latin pop
4318,31,0Dm6IRxyvcPamWqUXOLATr,access,Jungle Animals,1WvhlrOxQVkTDoYRfBZR0Y,access,2019-10-18,The Edge of Indie Poptimism,5vIdb67lQcdFwoVkE4UMep,pop,indie poptimism,5,1,access access pop indie poptimism
29011,11,5fcd5QN3WxsCIqaHpeORbG,access granted,YudaSibu,3cZfGXXdZExZq5lr3NzAdR,access granted,2019-09-30,Sick Big Room House Drops | EZUMI,4R4c3WdN1Any2Q1NSuec3r,edm,big room,2,1,access granted access granted edm big room
17340,27,6C9wrNf3MBFoy7tihOMeWI,accidente,Making Movies,0nZJ2vifwaMfiyAwfvIh1Q,accidente,2019-11-15,Paraíso Tropical,2v41efarffe6iY8qpMK5Gj,latin,tropical,6,1,accidente accidente latin tropical
18717,38,3IH2zs1TSPFA2Iy7e5HCmT,ace,Rewind,68rUoEpgweglqsBF4fOSRp,ace,2019-10-13,Great Pops,5SO7xYih5w8X5FEpKvU7Rt,latin,latin pop,1,1,ace ace latin latin pop
14567,45,4yZB0cywBNhhpNe9fnqgjz,ace in the hole,Saint Motel,2r69WsAMyjbgLf8c4woaUr,my type ep,2014-08-16,permanent wave,3uFyGoayrP71xS6T6Y8Bh2,rock,permanent wave,0,1,ace in the hole my type ep rock permanent wave
23036,78,3A2yGHWIzmGEIolwonU69h,act up,City Girls,6zzs0HMzEPRotJaEJe8uwJ,girl code,2018-11-16,Feeling Accomplished,37i9dQZF1DWTDafB3skWPN,r&b,hip pop,8,1,act up girl code r&b hip pop
12158,35,6nnH5zeFZOH3HMpEOG5DLg,action this day,Queen,6reTSIf5MoBco62rk8T7Q1,hot space,1982-05-03,The Queen - La Discografia Completa,3E88dLx4fgFYY70gdGzdnB,rock,album rock,2,1,action this day hot space rock album rock
14186,7,5EauMVTXVoQOkax03XXVaV,adam song,blink-182,1fF8kYX49s5Ufv4XEY5sjW,enema of the state,1999-01-01,keg party jukebox,4PjiT7SWnUsTTTvKOuR76f,rock,permanent wave,0,1,adam song enema of the state rock permanent wave
20776,77,6MJUCumnQsQEKbCy28tbCP,adictiva,Daddy Yankee,7Eeyj4vopzd7c1aAhwXFGU,adictiva,2018-11-09,VidaLoca - Latin / Raggaeton / Hip Hop ©,7EPbNmUW9nkRplDLSN9te4,latin,latin hip hop,4,0,adictiva adictiva latin latin hip hop
20259,90,3jbT1Y5MoPwEIpZndDDwVq,adicto,Tainy,7nqA49hzXJWPH4cnM8nk6x,adicto,2019-08-22,Urbano: Latino Vibes,0VsVywryrqLhHmsVFVcOAg,latin,latin hip hop,10,0,adicto adicto latin latin hip hop
9751,9,1pEMBjgNevArI6xnSKmLT9,adictos por rap,Maniako,3eZ8vxWKBJ5mFA2FibVt09,exitos vol 2,2017-04-08,Mexican Gangsta Rap,28Ke4pXWqF2A5b2GfQ1pQt,rap,gangster rap,4,0,adictos por rap exitos vol 2 rap gangster rap
23755,91,1M4qEo4HE3PRaCOM7EXNJq,adore you,Harry Styles,5SL9nXZYZZl68bHwaM8uLa,adore you,2019-12-06,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,r&b,hip pop,8,1,adore you adore you r&b hip pop
18489,64,2eqDUxbd0JPEhNrJdPlHLs,adrenalina,Wisin,3Oc7TFerme2LybRGVAcESO,el regreso del sobreviviente,2014-03-18,Fiesta Latina Mix 🎈🎉💃🏻🕺🏻☀️🏖,2kY6lVc5EcVfI5WNKmPQQG,latin,latin pop,5,1,adrenalina el regreso del sobreviviente latin latin pop
15117,59,06WohfoFEUa5faNy8f9S5N,adrenalize,In This Moment,3u8UbYIIZkOtawXLDuu57l,blood,2012-08-14,Hard Rock Workout,5nOO372uzpOM5rB2bRWfkp,rock,hard rock,6,1,adrenalize blood rock hard rock
6748,52,21SBUUtRtPK2x2OLmZCKTP,affair,Baani Sandhu,4ubZpOzmJp9haVbf9F97hy,affair,2019-03-25,Hip Te Hop,37i9dQZF1DWTqYqGLu7kTX,rap,hip hop,9,0,affair affair rap hip hop
23506,37,4XRQgH9uA2hNcphAjSoPUs,africa,Love Canon,0uUGpBzLNyLbbHLiKkJcTk,greatest hits vol 1,2012-03-29,Bluegrass Covers,37i9dQZF1DX56crgoe4TG3,r&b,hip pop,1,0,africa greatest hits vol 1 r&b hip pop
